epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.87771,1.02652,3.95345,1.16134,0.60183,0.88187,0.73273,0.58211,0.81697,2.13435,0.8506,0.0001,0.0001,0.0001
2,3.14925,0.87648,3.31548,1.17257,0.95922,1,0.995,0.89361,0.47321,2.939,0.85591,0.000217822,0.000217822,0.000217822
3,4.57012,0.6424,1.64024,1.01616,0.99023,1,0.995,0.89445,0.4734,2.77031,0.84362,0.000333268,0.000333268,0.000333268
4,5.97179,0.62327,1.25132,0.96002,0.95983,0.99567,0.9934,0.85125,0.58429,1.89443,0.88137,0.000446338,0.000446338,0.000446338
5,7.28615,0.71093,1.27522,1.03417,0.91113,0.91667,0.96642,0.81765,0.57759,1.81465,0.9536,0.000557032,0.000557032,0.000557032
6,8.60339,0.68134,1.01484,1.06974,0.92052,1,0.98145,0.85641,0.55442,2.42287,0.87951,0.00066535,0.00066535,0.00066535
7,10.0699,0.69737,1.08672,1.06121,0.82996,0.95833,0.9755,0.69667,0.83793,2.44301,1.17219,0.000771292,0.000771292,0.000771292
8,11.3893,0.72853,0.92946,1.06662,0.87132,0.95833,0.94766,0.79262,0.67094,1.23336,1.06707,0.000874858,0.000874858,0.000874858
9,12.7054,0.92032,1.06054,1.14082,0.82259,0.83333,0.87314,0.71167,0.8108,1.33275,1.09235,0.000976048,0.000976048,0.000976048
10,14.0212,0.80511,0.83137,1.0985,0.43619,0.66667,0.59782,0.24758,1.56878,3.2899,1.98021,0.00107486,0.00107486,0.00107486
11,15.3262,0.86788,0.88171,1.135,0.88449,0.66667,0.7824,0.4947,1.39062,1.37434,1.7222,0.0011713,0.0011713,0.0011713
12,16.629,0.82968,0.90807,1.12751,0.88262,0.94032,0.9439,0.66675,0.89012,1.36719,1.1941,0.00126536,0.00126536,0.00126536
13,18.0802,0.90965,0.81987,1.18565,0.37834,0.70833,0.56696,0.19154,1.4297,6.22724,2.408,0.00135705,0.00135705,0.00135705
14,19.3903,0.83806,0.79834,1.09856,0.2997,0.25,0.14229,0.0532,1.7783,5.60857,3.13404,0.00144636,0.00144636,0.00144636
15,20.699,0.72908,0.70377,1.04892,0.26637,0.20833,0.15994,0.11699,1.92152,4.00691,3.10135,0.00153329,0.00153329,0.00153329
16,22.1513,0.77859,0.80987,1.11633,0.01194,0.625,0.01119,0.0068,1.65795,31.8541,2.86159,0.00161785,0.00161785,0.00161785
17,23.4507,0.87724,0.83107,1.13413,0.00951,0.66667,0.00908,0.00282,2.64777,107.12,7.94329,0.0016832,0.0016832,0.0016832
18,24.7706,0.76397,0.66279,1.10457,0.00538,0.95833,0.00828,0.00211,2.98315,452.551,8.24243,0.0016634,0.0016634,0.0016634
19,26.0676,0.83199,0.67946,1.09558,0.00925,0.58333,0.00866,0.00304,2.69056,55.8877,6.94356,0.0016436,0.0016436,0.0016436
20,27.4329,0.77141,0.61425,1.10643,0.23785,0.125,0.10128,0.02659,3.82305,3.65729,4.34093,0.0016238,0.0016238,0.0016238
21,28.7253,0.80291,0.68007,1.16367,0.09173,0.125,0.03235,0.01368,2.65883,4.30479,2.90967,0.001604,0.001604,0.001604
22,30.0236,0.76735,0.62715,1.08107,0.48112,0.20833,0.20958,0.12465,2.32412,4.70297,2.55211,0.0015842,0.0015842,0.0015842
23,31.4547,0.77077,0.65736,1.06145,0.85715,0.29167,0.37925,0.23745,1.6944,2.19665,1.95195,0.0015644,0.0015644,0.0015644
24,32.7624,0.75989,0.61004,1.08442,0.76528,0.67967,0.69984,0.53742,1.14761,1.29301,1.59025,0.0015446,0.0015446,0.0015446
25,34.0597,0.71959,0.61348,1.05899,0.91986,0.66667,0.78457,0.60357,1.02992,1.04526,1.5232,0.0015248,0.0015248,0.0015248
26,35.3543,0.74394,0.60725,1.07126,1,0.82889,0.91806,0.69588,0.78533,0.76077,1.28499,0.001505,0.001505,0.001505
27,36.6518,0.75535,0.59564,1.11937,0.87997,0.91644,0.91052,0.76645,0.79679,0.72779,1.22982,0.0014852,0.0014852,0.0014852
28,37.9612,0.76543,0.58449,1.09725,0.97164,0.75,0.92016,0.70237,0.84069,0.79772,1.16202,0.0014654,0.0014654,0.0014654
29,39.3802,0.64293,0.52446,0.99345,0.95184,0.82382,0.90443,0.72445,0.85209,0.86284,1.19299,0.0014456,0.0014456,0.0014456
30,40.6917,0.71911,0.59808,1.07042,0.82926,0.66667,0.80611,0.62597,0.88619,1.13992,1.17281,0.0014258,0.0014258,0.0014258
31,41.98,0.71233,0.57792,1.04096,0.93704,0.62037,0.84094,0.6337,0.87527,0.96452,1.17707,0.001406,0.001406,0.001406
32,43.2905,0.64572,0.5391,1.00527,0.88263,0.95833,0.9686,0.7846,0.76616,0.68778,1.13267,0.0013862,0.0013862,0.0013862
33,44.5941,0.70073,0.52545,1.04288,0.95939,0.98475,0.987,0.79567,0.71443,0.62226,1.04192,0.0013664,0.0013664,0.0013664
